date,code,name,rank,multi_score
2026-06-25,036830,솔브레인홀딩스,1,2.041653306645113
2026-06-25,171090,선익시스템,2,1.5927782694340695
2026-06-25,035890,서희건설,3,1.429373479631145
2026-06-25,067160,SOOP,4,1.341246060906941
2026-06-25,052400,코나아이,5,1.3220650695064822
2026-06-25,257720,실리콘투,6,1.3135219172100454
2026-06-25,041510,에스엠,7,1.2280807885879237
2026-06-25,037460,삼지전자,8,1.1748850689421662
2026-06-25,039200,오스코텍,9,1.1219894708326734
2026-06-25,015750,성우하이텍,10,1.1203876029366626
2026-06-25,053610,프로텍,11,1.0852451300006885
2026-06-25,211050,인카금융서비스,12,1.0633605438050715
2026-06-25,003380,하림지주,13,1.042238263405224
2026-06-25,035900,JYP Ent.,14,1.036979610216061
2026-06-25,043260,성호전자,15,1.0252143299459489
2026-06-25,064760,티씨케이,16,0.98586290563889
2026-06-25,214450,파마리서치,17,0.9663588739251324
2026-06-25,033500,동성화인텍,18,0.9599286590801408
2026-06-25,023160,태광,19,0.9478349113692004
2026-06-25,214150,클래시스,20,0.93856458493053
2026-06-25,080220,제주반도체,21,0.922365957678556
2026-06-25,131290,티에스이,22,0.901356238686931
2026-06-25,272290,이녹스첨단소재,23,0.897598515961488
2026-06-25,124500,아이티센글로벌,24,0.8813037005279672
2026-06-25,089970,브이엠,25,0.8785687856856413
2026-06-25,101160,월덱스,26,0.8752520970947215
2026-06-25,196170,알테오젠,27,0.8601108313570229
2026-06-25,145020,휴젤,28,0.8386554256121959
2026-06-25,336570,원텍,29,0.832549797966019
2026-06-25,104830,원익머트리얼즈,30,0.8185604239325249
2026-06-26,036830,솔브레인홀딩스,1,2.997662742443065
2026-06-26,171090,선익시스템,2,2.124178690507112
2026-06-26,035890,서희건설,3,2.1193699095590555
2026-06-26,067160,SOOP,4,1.896471939261944
2026-06-26,041510,에스엠,5,1.8613377995237297
2026-06-26,052400,코나아이,6,1.851890851453715
2026-06-26,257720,실리콘투,7,1.7935590580113177
2026-06-26,015750,성우하이텍,8,1.720175573309126
2026-06-26,037460,삼지전자,9,1.590666825779632
2026-06-26,039200,오스코텍,10,1.572378471017564
2026-06-26,035900,JYP Ent.,11,1.4046665075493348
2026-06-26,033500,동성화인텍,12,1.3995833021972153
2026-06-26,003380,하림지주,13,1.3114609031456
2026-06-26,023160,태광,14,1.303834881720534
2026-06-26,043260,성호전자,15,1.2971634712386142
2026-06-26,053610,프로텍,16,1.2914958899571547
2026-06-26,214450,파마리서치,17,1.2631573530723663
2026-06-26,080220,제주반도체,18,1.2514011765076627
2026-06-26,124500,아이티센글로벌,19,1.2323520427581935
2026-06-26,214150,클래시스,20,1.229640815833347
2026-06-26,336570,원텍,21,1.2159968677317723
2026-06-26,101160,월덱스,22,1.1894117695059163
2026-06-26,397030,에이프릴바이오,23,1.1537397429301932
2026-06-26,053800,안랩,24,1.146870976184573
2026-06-26,089970,브이엠,25,1.1412363032716917
2026-06-26,104830,원익머트리얼즈,26,1.1316510272587803
2026-06-26,196170,알테오젠,27,1.1082327313386788
2026-06-26,272290,이녹스첨단소재,28,1.1062755169835374
2026-06-26,145020,휴젤,29,1.0849495510120453
2026-06-26,064760,티씨케이,30,1.082118709761897
2026-06-29,036830,솔브레인홀딩스,1,3.6326620351236625
2026-06-29,035890,서희건설,2,2.606347754457201
2026-06-29,171090,선익시스템,3,2.4870102496388435
2026-06-29,067160,SOOP,4,2.274318680902492
2026-06-29,041510,에스엠,5,2.2686585265847974
2026-06-29,052400,코나아이,6,2.1967534620376195
2026-06-29,015750,성우하이텍,7,2.117895057996584
2026-06-29,257720,실리콘투,8,2.1156629242197855
2026-06-29,037460,삼지전자,9,1.8935069305837025
2026-06-29,039200,오스코텍,10,1.8654690602717041
2026-06-29,033500,동성화인텍,11,1.6734934582845917
2026-06-29,035900,JYP Ent.,12,1.6429219973053333
2026-06-29,023160,태광,13,1.5277893124135233
2026-06-29,043260,성호전자,14,1.4911655454572155
2026-06-29,003380,하림지주,15,1.475316186269143
2026-06-29,080220,제주반도체,16,1.467650970354081
2026-06-29,336570,원텍,17,1.4575951270559515
2026-06-29,214450,파마리서치,18,1.4575400798221252
2026-06-29,124500,아이티센글로벌,19,1.456398528994896
2026-06-29,053610,프로텍,20,1.446992559369717
2026-06-29,214150,클래시스,21,1.4180530766691382
2026-06-29,053800,안랩,22,1.400242341514173
2026-06-29,101160,월덱스,23,1.3954735580248252
2026-06-29,397030,에이프릴바이오,24,1.3889002798056325
2026-06-29,104830,원익머트리얼즈,25,1.3374222710716226
2026-06-29,089970,브이엠,26,1.3121274016294349
2026-06-29,101490,에스앤에스텍,27,1.3047281865097768
2026-06-29,340570,티앤엘,28,1.2975896334277153
2026-06-29,196170,알테오젠,29,1.2657042935504292
2026-06-29,368770,파이버프로,30,1.2589153031897393
